id,vri,flag
?A,ABH,
?D,DPR,
?L,LPR,
?N,TODO NORTHERN CYPRUS,
?O,RSO,
AD,AND,
AE,UAE,
AF,AFG,
AG,AG,
AL,AL,
AM,AM,
AO,ANG,
AR,RA,
AT,A,
AU,AUS,-
AU-ACT,,
AU-CC,,CC
AU-CX,,CX
AU-NI,,
AU-NSW,,
AU-NT,,
AU-QLD,,
AU-SA,,
AU-TAS,,
AU-VIC,,
AU-WA,,
AU-ZZZ,,
AZ,AZ,
BA,BIH,
BB,BDS,
BD,BD,
BE,B,
BF,BF,
BG,BG,
BH,BRN,
BI,RU/BU*,
BJ,DY/RB*,
BN,BRU,
BO,BOL,
BR,BR,
BS,BS,
BT,BHT,
BW,BW,
BY,BY,
BZ,BH,
CA,CDN,-
CA-AB,,
CA-BC,,
CA-MB,,
CA-NB,,
CA-NL,,
CA-NS,,
CA-NT,,
CA-NU,,
CA-ON,,
CA-PE,,
CA-QC,,
CA-SK,,
CA-YT,,
CA-ZFR,,
CD,CGO,
CF,RCA,
CG,RCB/RC*,
CH,CH,
CI,CI,
CL,RCH,
CM,CAM/CMR*,
CN,CHN,
CN-HK,HK,HK
CN-MO,MO,MO
CO,CO,
CR,CR,
CU,CU,
CV,CV,
CY,CY,
CZ,CZ,
DD,DDR,
DE,D,
DJ,DJI,
DK,DK,
DK-FO,FO,FO
DM,WD,
DO,DOM,
DZ,DZ,
EC,EC,
EE,EST,
EG,EG,
EH,-,
ER,ER,
ES,E,
ET,ETH,
FI,FIN,
FJ,FJI,
FM,FSM,
FR,F,
GA,G/RG*,
GB,UK/GB,
GB-?A,GBA,
GB-AI,,AI
GB-BM,,BM
GB-FK,,FK
GB-GG,GBG,GG
GB-GI,GBZ,GI
GB-IM,GBM,IM
GB-IO,,IO
GB-JE,GBJ,JE
GB-KY,,KY
GB-MS,,MS
GB-PN,,PN
GB-SH,,SH
GB-TC,,TC
GB-VG,BVI,VG
GD,WG,
GE,GE,
GH,GH,
GM,WAG,
GN,RG,
GQ,GE*,
GR,GR,
GT,GCA,
GW,RGB,
GY,GUY,
HN,HN,
HR,HR,
HT,RH,
HU,H,
ID,RI,
IE,IRL,
IL,IL,
IN,IND,
IQ,IRQ,
IQ-KR,IRQ KR,
IR,IR,
IS,IS,
IT,I,
JE,GBJ,
JM,JA,
JO,HKJ,
JP,J,
KE,EAK,
KG,KG,
KH,KH,
KI,KIR,
KM,COM,
KN,KN,
KP,-,
KR,ROK/KOR*,
KW,KWT,
KZ,KZ,
LA,LAO,
LB,RL,
LC,WL,
LI,FL,
LK,CL,
LR,LB,
LS,LS,
LT,LT,
LU,L,
LV,LV,
LY,LAR/LY*,
MA,MA,
MC,MC,
MD,MD,
MD-?T,,
ME,MNE,
MG,RM,
MH,MH,
MK,NMK,
ML,RMM,
MM,BUR,
MN,MGL/MNG*,
MR,RIM,
MT,M,
MU,MS,
MV,MV,
MW,MW,
MX,MEX,
MY,MAL,
MZ,MOC,
NA,NAM,
NE,RN,
NG,WAN,
NI,NIC,
NL,NL,
NL-AW,,AW
NL-BQ,BQ,BQ
NL-CW,CW,CW
NL-SX,SX,SX
NO,N,
NP,NEP,
NR,NAU,
NZ,NZ,
NZ-CK,,CK
NZ-NU,,NU
OM,OM,
PA,PA,
PE,PE,
PG,PNG,
PH,RP,
PK,PK,
PL,PL,
PS,P*,
PT,P,
PW,PAL,
PY,PY,
QA,Q,
RO,RO,
RS,SRB,
RU,RUS,
RW,RWA,
SA,KSA,
SB,SOL,
SC,SY,
SD,SUD,
SE,S,
SG,SGP,
SI,SLO,
SK,SK,
SL,WAL/SLE*,
SM,RSM,
SN,SN,
SO,SO,
SO-?S,,
SR,SME,
SS,-,
ST,STP,
SU,SU,
SV,ES,
SY,SYR,
SZ,SD,
TD,TCH,
TG,TG,
TH,T,
TJ,TJ,
TL,TL,
TM,TM,
TN,TN,
TO,TO,
TR,TR,
TT,TT,
TV,TUV,
TW,RC,
TZ,EAT,
TZ-1,EAZ,
UA,UA,
UG,EAU,
US,USA,-
US-ZZC,,
UY,ROU,
UZ,UZ,
VA,V,
VC,WV,
VE,YV,
VN,VN,
VU,VU,
WS,WS,
XK,RKS,
YE,YAR,
YU,YU,
ZA,ZA,
ZM,Z/ZM*,
ZW,ZW,
